id,full_name,avatar_url,role,preferences,metadata,created_at,updated_at,last_seen_at,email
74669e60-d05a-429f-80d2-cdb5c565b3e5,Admin 2,,admin,{},{},2025-01-24 18:33:26.424803+00,2025-01-24 18:33:26.424803+00,,admin2@test.com
7e3739be-325c-4bb9-9874-0c1c8e289e97,Admin 3,,admin,{},{},2025-01-24 18:33:27.327991+00,2025-01-24 18:33:27.327991+00,,admin3@test.com
a34e1894-9ac2-473e-8082-6c289eee26de,Admin 4,,admin,{},{},2025-01-24 18:33:28.127888+00,2025-01-24 18:33:28.127888+00,,admin4@test.com
cbe70ec9-8907-452d-8dbd-be971208ad4e,Admin 5,,admin,{},{},2025-01-24 18:33:28.987896+00,2025-01-24 18:33:28.987896+00,,admin5@test.com
776c3348-f36d-4081-848b-caab2ad125a8,Agent 5,,agent,{},{},2025-01-24 18:33:32.346956+00,2025-01-24 18:33:32.346956+00,,agent5@test.com
4e1b84d2-3f7f-4a90-a248-75bb74f4b642,Agent 6,,agent,{},{},2025-01-24 18:33:33.159353+00,2025-01-24 18:33:33.159353+00,,agent6@test.com
90e7cafb-8e26-4497-af6a-15064fa2a2b6,Agent 7,,agent,{},{},2025-01-24 18:33:33.982502+00,2025-01-24 18:33:33.982502+00,,agent7@test.com
b002a312-232a-44c1-a273-92abe18496f9,Agent 8,,agent,{},{},2025-01-24 18:33:34.931249+00,2025-01-24 18:33:34.931249+00,,agent8@test.com
35cf0f08-4a9c-4885-942c-f9b0c08d452c,Agent 10,,agent,{},{},2025-01-24 18:33:36.524828+00,2025-01-24 18:33:36.524828+00,,agent10@test.com
7c6d46d5-a64c-417d-bdc5-56577545530e,Agent 9,,agent,{},{},2025-01-24 18:33:35.73427+00,2025-01-24 18:33:35.73427+00,,agent9@test.com
04e0d15f-2d63-4ece-98f0-fea1c1e8d34c,Agent 2,,agent,{},{},2025-01-24 18:33:29.907184+00,2025-01-24 18:33:29.907184+00,,agent2@test.com
cfac0748-929c-463e-b903-62eabc39f221,Agent 3,,agent,{},{},2025-01-24 18:33:30.71764+00,2025-01-24 18:33:30.71764+00,,agent3@test.com
9089e2bd-63d5-4036-b1c2-f5584da34854,Agent 4,,agent,{},{},2025-01-24 18:33:31.531403+00,2025-01-24 18:33:31.531403+00,,agent4@test.com
1f159dd1-d614-40b4-a954-df92b7900e1b,agent mcagentface,,customer,{},{},2025-01-24 17:42:55.783923+00,2025-01-24 17:42:55.783923+00,,agent@example.com
112356f1-af27-4e86-92a2-6993a465beb6,Customer 2,,customer,{},{},2025-01-24 18:33:37.479553+00,2025-01-24 18:33:37.479553+00,,customer2@test.com
64b03d74-bd95-4b31-9d5b-66d546ab6d72,Customer 3,,customer,{},{},2025-01-24 18:33:38.288949+00,2025-01-24 18:33:38.288949+00,,customer3@test.com
366748b1-9c31-4e21-942d-ab79b8fe56c6,Customer 4,,customer,{},{},2025-01-24 18:33:39.233327+00,2025-01-24 18:33:39.233327+00,,customer4@test.com
60cc42d7-00fc-47f3-82ac-a00b669e7872,Customer 5,,customer,{},{},2025-01-24 18:33:40.024015+00,2025-01-24 18:33:40.024015+00,,customer5@test.com
b7cac22a-77b0-45a6-a7f8-7dae78f885ae,Customer 6,,customer,{},{},2025-01-24 18:33:40.934889+00,2025-01-24 18:33:40.934889+00,,customer6@test.com
9381c122-f556-41e7-a26c-9f41649627f8,Customer 7,,customer,{},{},2025-01-24 18:33:41.764921+00,2025-01-24 18:33:41.764921+00,,customer7@test.com
b220ad94-1351-406e-8000-0cdb71a420a9,Customer 8,,customer,{},{},2025-01-24 18:33:42.587188+00,2025-01-24 18:33:42.587188+00,,customer8@test.com
cb14c388-f152-413f-88c6-84c54e3594a6,Customer 9,,customer,{},{},2025-01-24 18:33:43.421174+00,2025-01-24 18:33:43.421174+00,,customer9@test.com
7d8deef4-34ae-447a-a216-aff5f426201d,Customer 10,,customer,{},{},2025-01-24 18:33:44.258912+00,2025-01-24 18:33:44.258912+00,,customer10@test.com
e21b527d-2eb3-4559-b0e0-f23cacefa93a,qwertyuiop,,customer,{},{},2025-01-23 23:14:24.276703+00,2025-01-23 23:14:24.276703+00,,qwertyuiop@qwertyuiop.com
cf829616-880f-4135-aae4-6d52b0f7f93e,customer mcshopperface,,customer,{},{},2025-01-24 18:32:41.242978+00,2025-01-24 18:32:41.242978+00,,customer@example.com
